Names,label,clean_tweet
آدم نبيل عباس,1,ادم نبىل عباس
آدم طارق رجب,1,ادم طارق رجب
آدم فكرت سامر,1,ادم فكرت سامر
أبو بكر عميد فريد,1,ابو بكر عمىد فرىد
أبو بكر الحبيب بهاء,1,ابو بكر الحبىب بهاء
أبو بكر فرقان عبدالغفور,1,ابو بكر فرقان عبدالغفور
أبو حمزة حنبل معاذ,1,ابو حمزه حنبل معاذ
أبو حمزة عنتر أيوب,1,ابو حمزه عنتر اىوب
أبو حمزة مصعب اسلم,1,ابو حمزه مصعب اسلم
أحمد مشعل ابراهيم,1,احمد مشعل ابراهىم
أحمد حامد بدر,1,احمد حامد بدر
أحمد علاء الدين رامي,1,احمد علاء الدىن رامى
أدهم نوفل مرشد,1,ادهم نوفل مرشد
أدهم خضر مهاب,1,ادهم خضر مهاب
أدهم راكان عميد,1,ادهم راكان عمىد
أديب نائل أدهم,1,ادىب نائل ادهم
أديب فريد وائل,1,ادىب فرىد وائل
أديب قطب حاتم,1,ادىب قطب حاتم
أسامة ناصيف أبو بكر,1,اسامه ناصىف ابو بكر
أسامة ساهر عليم,1,اسامه ساهر علىم
أسامة عبدالعزيز إدريس,1,اسامه عبدالعزىز ادرىس
أسعد عبدالجميل علي,1,اسعد عبدالجمىل على
أسعد رضوان ياسر,1,اسعد رضوان ىاسر
أسعد لطفي غازي,1,اسعد لطفى غازى
أسلم عصمت محمود,1,اسلم عصمت محمود
أسلم سهيل جاسم,1,اسلم سهىل جاسم
أسلم عبدالكريم أكرم,1,اسلم عبدالكرىم اكرم
أشرف نسيم عجاج,1,اشرف نسىم عجاج
أشرف زغلول عبيد,1,اشرف زغلول عبىد
أشرف مهاب عبدي,1,اشرف مهاب عبدى
أكرم فخر بشر,1,اكرم فخر بشر
أكرم عادل عبدالصمد,1,اكرم عادل عبدالصمد
أكرم إهاب رضي,1,اكرم اهاب رضى
أكمل جميل رأفت,1,اكمل جمىل رافت
أكمل مراد حسني,1,اكمل مراد حسنى
أكمل أنس نجيب,1,اكمل انس نجىب
أمان حنبل مشاري,1,امان حنبل مشارى
أمان تيسير حسن,1,امان تىسىر حسن
أمان جبور عبدالعظيم,1,امان جبور عبدالعظىم
أمجد فارس كنان,1,امجد فارس كنان
أمجد زين منير,1,امجد زىن منىر
أمجد خليل ريان,1,امجد خلىل رىان
أمير عبدالغفور غريب,1,امىر عبدالغفور غرىب
أمير عنتر عبدالحفيظ,1,امىر عنتر عبدالحفىظ
أمير سراج جمعة,1,امىر سراج جمعه
أمين تواب قاسم,1,امىن تواب قاسم
أمين صدام نجم الدين,1,امىن صدام نجم الدىن
أمين عبدالحليم جمال,1,امىن عبدالحلىم جمال
أنس فارس غيد,1,انس فارس غىد
أنس عوض أمان,1,انس عوض امان
أنس رامز حسني,1,انس رامز حسنى
أنعم نوح عبدالعزيز,1,انعم نوح عبدالعزىز
أنعم جابر حمد,1,انعم جابر حمد
أنعم مشعل ريان,1,انعم مشعل رىان
أنور سعدون فكرت,1,انور سعدون فكرت
أنور صديق فؤاد,1,انور صدىق فؤاد
أنور عماد جاسم,1,انور عماد جاسم
أيمن أمجد عبدالرؤوف,1,اىمن امجد عبدالرؤوف
أيمن شيبة نظمي,1,اىمن شىبه نظمى
أيمن منيب قادر,1,اىمن منىب قادر
أيوب راشد برهان,1,اىوب راشد برهان
أيوب جمعة راجي,1,اىوب جمعه راجى
أيوب ماهر قاسم,1,اىوب ماهر قاسم
إبراهيم ناصف عبدالرؤوف,1,ابراهىم ناصف عبدالرؤوف
إبراهيم عزيز شهيد,1,ابراهىم عزىز شهىد
إبراهيم جهاد منصور,1,ابراهىم جهاد منصور
إحسان أمير رسمي,1,احسان امىر رسمى
إحسان ماجد غافر,1,احسان ماجد غافر
إحسان عماد عطا,1,احسان عماد عطا
إدريس كمال ريان,1,ادرىس كمال رىان
إدريس طيب فرحات,1,ادرىس طىب فرحات
إدريس أمجد ناجي,1,ادرىس امجد ناجى
إسحاق عبدالصمد آدم,1,اسحاق عبدالصمد ادم
إسحاق حسين تامر,1,اسحاق حسىن تامر
إسحاق راكان سيد,1,اسحاق راكان سىد
إسلام أمير غازي,1,اسلام امىر غازى
إسلام سالم ناصر الدين,1,اسلام سالم ناصر الدىن
إسلام فراج مرشدي,1,اسلام فراج مرشدى
إسماعيل نادر رؤوف,1,اسماعىل نادر رؤوف
إسماعيل براء رشاد,1,اسماعىل براء رشاد
إسماعيل عمرو بسام,1,اسماعىل عمرو بسام
إمام خلف أبو حمزة,1,امام خلف ابو حمزه
